Date,Close,Open,Price_diff,fng_value
2020-08-29,5819.496041789418,5835.895149675161,-16.399107885742524,79.0
2020-08-30,5926.43309706768,5820.371265878725,106.06183118895478,75.0
2020-08-31,5912.139074146021,5927.351709688837,-15.212635542816315,75.0
2020-09-01,6063.762798916007,5911.353042392871,152.4097565231359,75.0
2020-09-02,5779.564638048709,6060.928000394282,-281.3633623455735,83.0
2020-09-03,5186.144748366904,5776.177051626593,-590.0323032596889,79.0
2020-09-04,5319.854935849551,5178.519184146719,141.33575170283166,40.0
2020-09-05,5140.062014102469,5320.180729707637,-180.11871560516738,41.0
2020-09-06,5198.64100949047,5138.898761460315,59.74224803015568,41.0
2020-09-07,5243.068200070159,5198.979115654994,44.089084415165416,41.0
2020-09-08,5121.679091721158,5243.026714767143,-121.34762304598462,41.0
2020-09-09,5179.411434385348,5123.033047852777,56.37838653257131,38.0
2020-09-10,5242.521110902643,5179.4541910278895,63.066919874753694,38.0
2020-09-11,5262.487083337438,5245.468464032029,17.01861930540872,41.0
2020-09-12,5285.290679794597,5266.942148265372,18.3485315292246,41.0
2020-09-13,5222.762694588593,5290.458912719535,-67.69621813094182,38.0
2020-09-14,5403.185851469628,5225.275051113357,177.91080035627056,39.0
2020-09-15,5458.967116237924,5401.624649408321,57.34246682960293,47.0
2020-09-16,5548.115506158973,5459.356750924959,88.75875523401464,43.0
2020-09-17,5538.834449513537,5547.294931685627,-8.460482172089542,48.0
2020-09-18,5535.903415826,5540.2995728427,-4.396157016700272,49.0
2020-09-19,5610.961509705213,5530.4481712181205,80.51333848709237,48.0
2020-09-20,5530.533437411962,5611.732098097922,-81.19866068596002,52.0
2020-09-21,5287.621566232852,5528.91816523946,-241.29659900660772,48.0
2020-09-22,5326.208709114148,5286.288251033789,39.92045808035982,39.0
2020-09-23,5176.226137241499,5324.735647830676,-148.5095105891769,43.0
2020-09-24,5437.851418231708,5177.504174275054,260.347243956654,39.0
2020-09-25,5404.653583728243,5438.381345410274,-33.72776168203109,46.0
2020-09-26,5434.268578010135,5406.110853615562,28.15772439457305,45.0
2020-09-27,5446.862163007724,5432.267896619597,14.594266388126925,47.0
2020-09-28,5413.726154730347,5447.6143264505845,-33.88817172023755,43.0
2020-09-29,5482.073023316646,5413.59770061464,68.47532270200554,45.0
2020-09-30,5452.047908513974,5481.737004456064,-29.689095942089807,49.0
2020-10-01,5368.325832182559,5457.491442876728,-89.16561069416912,45.0
2020-10-02,5345.437335611703,5368.470665529306,-23.033329917602714,41.0
2020-10-03,5332.213102798146,5345.000645974808,-12.787543176662439,40.0
2020-10-04,5393.352548915996,5332.782123490935,60.57042542506042,42.0
2020-10-05,5455.444244784815,5396.854681392164,58.589563392651144,42.0
2020-10-06,5358.771611399837,5456.927964744669,-98.1563533448325,47.0
2020-10-07,5391.220147377476,5358.265589893125,32.95455748435052,43.0
2020-10-08,5516.037719880239,5391.461143960739,124.5765759195001,46.0
2020-10-09,5592.866746281164,5522.208683317472,70.65806296369192,48.0
2020-10-10,5709.66383037096,5590.179079301833,119.48475106912701,53.0
2020-10-11,5754.259596293447,5709.522004134395,44.73759215905284,55.0
2020-10-12,5842.016390781515,5758.431170053622,83.5852207278931,52.0
2020-10-13,5776.216908010271,5838.5971728562745,-62.38026484600323,56.0
2020-10-14,5777.752754095319,5777.918122767043,-0.1653686717245364,53.0
2020-10-15,5810.362535359524,5776.25199964582,34.11053571370394,56.0
2020-10-16,5721.866699028975,5814.170697785298,-92.30399875632338,52.0
2020-10-17,5740.294684647108,5721.835065544546,18.4596191025621,56.0
2020-10-18,5804.450330294157,5739.213928364339,65.23640192981748,55.0
2020-10-19,5934.013008596143,5810.330602760073,123.68240583606985,55.0
2020-10-20,6019.334355569462,5935.947400265177,83.38695530428504,56.0
2020-10-21,6476.777198296375,6017.693385300479,459.08381299589564,61.0
2020-10-22,6551.410797684157,6465.637619341511,85.77317834264613,73.0
2020-10-23,6533.59812394185,6554.284592067282,-20.68646812543193,74.0
2020-10-24,6622.3002951691215,6533.615790319871,88.68450484925052,73.0
2020-10-25,6582.811963660569,6622.300788269341,-39.48882460877212,76.0
2020-10-26,6602.919358292026,6582.825669944138,20.09368834788802,75.0
2020-10-27,6894.054235001216,6602.916416478557,291.13781852265856,61.0
2020-10-28,6700.03042821821,6894.0522980553005,-194.0218698370909,70.0
2020-10-29,6782.981457095322,6700.03731852945,82.94413856587198,67.0
2020-10-30,6836.588662414039,6782.977101921019,53.61156049302008,74.0
2020-10-31,6954.433439845722,6836.593555311645,117.8398845340771,73.0
2020-11-01,6934.063670437578,6954.433440976403,-20.369770538824923,72.0
2020-11-02,6838.583671048982,6934.024738598111,-95.441067549129,71.0
2020-11-03,7039.124792175414,6838.564510898692,200.56028127672198,71.0
2020-11-04,7133.158011895921,7039.218730079653,93.9392818162678,74.0
2020-11-05,7858.194880484056,7133.1713527411775,725.0235277428783,72.0
2020-11-06,7857.84781984171,7858.135201420291,-0.2873815785815168,90.0
2020-11-07,7488.664201732837,7857.848342302647,-369.18414056981055,88.0
2020-11-08,7814.486101777797,7488.6651099359615,325.82099184183517,82.0
2020-11-09,7739.329642334087,7814.50336370254,-75.17372136845279,90.0
2020-11-10,7719.536280887676,7739.347795167873,-19.811514280197116,90.0
2020-11-11,7926.853177128173,7719.539702289653,207.31347483852005,86.0
2020-11-12,8214.006436594635,7926.832484023906,287.17395257072894,87.0
2020-11-13,8236.969671633644,8214.054786413815,22.914885219828648,89.0
2020-11-14,8109.794340777045,8236.969671633644,-127.17533085659852,90.0
2020-11-15,8051.482355816924,8109.79483882392,-58.312483006996445,86.0
2020-11-16,8433.773629729487,8051.476969938837,382.29665979064976,90.0
2020-11-17,8901.72697665045,8419.290308458367,482.43666819208374,86.0
2020-11-18,8980.857440144828,8901.61743203709,79.2400081077376,91.0
2020-11-19,8986.142909346856,8980.784677634647,5.35823171220909,94.0
2020-11-20,9394.414546140284,8986.140032416619,408.2745137236652,86.0
2020-11-21,9411.374342389892,9394.415527585596,16.958814804296708,91.0
2020-11-22,9276.57333188793,9411.374342389892,-134.80101050196208,94.0
2020-11-23,9281.79651516282,9276.579769022674,5.216746140145915,90.0
2020-11-24,9652.925151458698,9282.255224790051,370.66992666864644,88.0
2020-11-25,9459.76118093028,9651.401744265162,-191.64056333488224,94.0
2020-11-26,8660.45459569389,9458.590715691253,-798.1361199973635,93.0
2020-11-27,8639.150103439539,8662.151114174481,-23.00101073494261,86.0
2020-11-28,8947.035186293351,8641.432542486806,305.60264380654553,87.0
2020-11-29,9183.13874862588,8948.152266947873,234.9864816780082,89.0
2020-11-30,9913.669137715968,9183.557877896605,730.1112598193631,88.0
2020-12-01,9497.75453632796,9917.673569787412,-419.9190334594514,95.0
2020-12-02,9698.604428679588,9497.11990139624,201.48452728334814,92.0
2020-12-03,9823.716072598583,9701.039877067906,122.67619553067743,92.0
2020-12-04,9443.175555930866,9824.503561022046,-381.3280050911799,92.0
2020-12-05,9674.825765879154,9442.484383544614,232.34138233453996,93.0
2020-12-06,9771.117508110432,9674.795955446958,96.321552663474,95.0
2020-12-07,9692.74171654663,9770.102799192116,-77.36108264548602,94.0
2020-12-08,9251.435349841797,9692.700942897329,-441.265593055532,95.0
2020-12-09,9370.845518228069,9251.29981362986,119.54570459820934,86.0
2020-12-10,9224.126462673908,9370.541126081396,-146.41466340748775,94.0
2020-12-11,9118.824059347102,9223.595125251552,-104.77106590444964,89.0
2020-12-12,9494.903676757349,9114.996659923603,379.90701683374573,90.0
2020-12-13,9667.717100234218,9496.46523815111,171.2518620831088,91.0
